task,task_type,noise_level,method,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,delta_vs_2d_positive,n_seeds
BBBP,classification,0.5,all_3d_noisy_aug,AUROC,0.920182394924663,0.0043084177108356,0.920182 +/- 0.004308,100.0,-0.004480570975416209,5
BBBP,classification,0.5,voi_positive_threshold_20,AUROC,0.9244944488501188,0.0036550566771404,0.924494 +/- 0.003655,20.0,-0.00016851704996045935,5
BBBP,classification,0.5,voi_reliability_penalized_positive_20,AUROC,0.9256641554321966,0.0034861950947705,0.925664 +/- 0.003486,17.37704918032787,0.0010011895321173636,5
BBBP,classification,0.5,voi_router_fixed_budget_20,AUROC,0.9244944488501188,0.0036550566771404,0.924494 +/- 0.003655,20.0,-0.00016851704996045935,5
BBBP,classification,1.0,all_2d,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,0.0,5
BBBP,classification,1.0,all_3d_noisy_aug,AUROC,0.9135111022997622,0.009075245701744,0.913511 +/- 0.009075,100.0,-0.011151863600317058,5
BBBP,classification,1.0,voi_positive_threshold_20,AUROC,0.9230670103092784,0.0049934576953601,0.923067 +/- 0.004993,20.0,-0.001595955590800835,5
BBBP,classification,1.0,voi_reliability_penalized_positive_20,AUROC,0.9257533703409992,0.0040060338260715,0.925753 +/- 0.004006,4.6557377049180335,0.001090404440920012,5
BBBP,classification,1.0,voi_router_fixed_budget_20,AUROC,0.9230670103092784,0.0049934576953601,0.923067 +/- 0.004993,20.0,-0.001595955590800835,5
ESOL,regression,0.0,all_2d,MAE,0.6019217134369322,0.0115463247949263,0.601922 +/- 0.011546,0.0,0.0,5
ESOL,regression,0.0,all_3d_noisy_aug,MAE,0.6083542341331086,0.0064587945977513,0.608354 +/- 0.006459,100.0,-0.0064325206961763914,5
ESOL,regression,0.0,voi_positive_threshold_20,MAE,0.5997089894602498,0.0116109784963346,0.599709 +/- 0.011611,19.9203187250996,0.0022127239766824847,5
ESOL,regression,0.0,voi_reliability_penalized_positive_20,MAE,0.5997089894602498,0.0116109784963346,0.599709 +/- 0.011611,19.9203187250996,0.0022127239766824847,5
ESOL,regression,0.0,voi_router_fixed_budget_20,MAE,0.5997089894602498,0.0116109784963346,0.599709 +/- 0.011611,19.9203187250996,0.0022127239766824847,5
ESOL,regression,0.1,all_2d,MAE,0.6019217134369322,0.0115463247949263,0.601922 +/- 0.011546,0.0,0.0,5
ESOL,regression,0.1,all_3d_noisy_aug,MAE,0.629720410036186,0.0099342988320237,0.629720 +/- 0.009934,100.0,-0.027798696599253714,5
ESOL,regression,0.1,voi_positive_threshold_20,MAE,0.6000506171678641,0.0135951887518128,0.600051 +/- 0.013595,19.52191235059761,0.0018710962690681177,5
ESOL,regression,0.1,voi_reliability_penalized_positive_20,MAE,0.5998427323375565,0.0135671020334927,0.599843 +/- 0.013567,18.56573705179283,0.002078981099375765,5
ESOL,regression,0.1,voi_router_fixed_budget_20,MAE,0.5995681896240111,0.0142762941076547,0.599568 +/- 0.014276,19.9203187250996,0.002353523812921088,5
ESOL,regression,0.25,all_2d,MAE,0.6019217134369322,0.0115463247949263,0.601922 +/- 0.011546,0.0,0.0,5
ESOL,regression,0.25,all_3d_noisy_aug,MAE,0.6395449211492956,0.0073793013202069,0.639545 +/- 0.007379,100.0,-0.03762320771236338,5
ESOL,regression,0.25,voi_positive_threshold_20,MAE,0.5959822429071859,0.0077485112028512,0.595982 +/- 0.007749,19.9203187250996,0.005939470529746305,5
ESOL,regression,0.25,voi_reliability_penalized_positive_20,MAE,0.5957830717451544,0.0070441246494206,0.595783 +/- 0.007044,19.04382470119522,0.006138641691777802,5
ESOL,regression,0.25,voi_router_fixed_budget_20,MAE,0.5959822429071859,0.0077485112028512,0.595982 +/- 0.007749,19.9203187250996,0.005939470529746305,5
ESOL,regression,0.5,all_2d,MAE,0.6019217134369322,0.0115463247949263,0.601922 +/- 0.011546,0.0,0.0,5
ESOL,regression,0.5,all_3d_noisy_aug,MAE,0.6446060799002173,0.0089094319676611,0.644606 +/- 0.008909,100.0,-0.042684366463285106,5
ESOL,regression,0.5,voi_positive_threshold_20,MAE,0.5991449473567217,0.0144625456432893,0.599145 +/- 0.014463,19.9203187250996,0.002776766080210491,5
ESOL,regression,0.5,voi_reliability_penalized_positive_20,MAE,0.6011224066434153,0.0132747100532646,0.601122 +/- 0.013275,12.749003984063744,0.0007993067935169185,5
ESOL,regression,0.5,voi_router_fixed_budget_20,MAE,0.5991449473567217,0.0144625456432893,0.599145 +/- 0.014463,19.9203187250996,0.002776766080210491,5
ESOL,regression,1.0,all_2d,MAE,0.6019217134369322,0.0115463247949263,0.601922 +/- 0.011546,0.0,0.0,5
ESOL,regression,1.0,all_3d_noisy_aug,MAE,0.6510705559073217,0.0089684639143489,0.651071 +/- 0.008968,100.0,-0.04914884247038942,5
ESOL,regression,1.0,voi_positive_threshold_20,MAE,0.5979269787229865,0.0093553931643395,0.597927 +/- 0.009355,19.203187250996017,0.003994734713945736,5
ESOL,regression,1.0,voi_reliability_penalized_positive_20,MAE,0.6013439126254078,0.0095770284311529,0.601344 +/- 0.009577,2.629482071713148,0.0005778008115244759,5
ESOL,regression,1.0,voi_router_fixed_budget_20,MAE,0.5974065737963673,0.0095529438863855,0.597407 +/- 0.009553,19.9203187250996,0.004515139640564936,5
FreeSolv,regression,0.0,all_2d,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,0.0,0.0,5
FreeSolv,regression,0.0,all_3d_noisy_aug,MAE,2.7482995008077378,0.0736466595797289,2.748300 +/- 0.073647,100.0,-0.28362853141320077,5
FreeSolv,regression,0.0,voi_positive_threshold_20,MAE,2.429028407133542,0.0448035552545788,2.429028 +/- 0.044804,14.67948717948718,0.035642562260994826,5
FreeSolv,regression,0.0,voi_reliability_penalized_positive_20,MAE,2.429028407133542,0.0448035552545788,2.429028 +/- 0.044804,14.67948717948718,0.035642562260994826,5
FreeSolv,regression,0.0,voi_router_fixed_budget_20,MAE,2.4166392182631364,0.0445409227044908,2.416639 +/- 0.044541,19.871794871794872,0.04803175113140057,5
FreeSolv,regression,0.1,all_2d,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,0.0,0.0,5
FreeSolv,regression,0.1,all_3d_noisy_aug,MAE,2.671186973046034,0.1185194380746477,2.671187 +/- 0.118519,100.0,-0.20651600365149703,5
FreeSolv,regression,0.1,voi_positive_threshold_20,MAE,2.41669596692232,0.0517922240385768,2.416696 +/- 0.051792,17.756410256410255,0.0479750024722172,5
FreeSolv,regression,0.1,voi_reliability_penalized_positive_20,MAE,2.419787936932001,0.0510674577159977,2.419788 +/- 0.051067,17.115384615384617,0.04488303246253622,5
FreeSolv,regression,0.1,voi_router_fixed_budget_20,MAE,2.415288176371501,0.0539422579076584,2.415288 +/- 0.053942,19.871794871794872,0.049382793023036164,5
FreeSolv,regression,0.25,all_2d,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,0.0,0.0,5
FreeSolv,regression,0.25,all_3d_noisy_aug,MAE,2.693962465072289,0.0197887443417397,2.693962 +/- 0.019789,100.0,-0.2292914956777521,5
FreeSolv,regression,0.25,voi_positive_threshold_20,MAE,2.4197629335476805,0.0411495566012371,2.419763 +/- 0.041150,15.0,0.04490803584685654,5
FreeSolv,regression,0.25,voi_reliability_penalized_positive_20,MAE,2.4280001724561053,0.0427698052554166,2.428000 +/- 0.042770,10.64102564102564,0.03667079693843167,5
FreeSolv,regression,0.25,voi_router_fixed_budget_20,MAE,2.417521147306149,0.038641748766261,2.417521 +/- 0.038642,19.871794871794872,0.04714982208838814,5
FreeSolv,regression,0.5,all_2d,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,0.0,0.0,5
FreeSolv,regression,0.5,all_3d_noisy_aug,MAE,2.685723635428991,0.1122943115559743,2.685724 +/- 0.112294,100.0,-0.22105266603445406,5
FreeSolv,regression,0.5,voi_positive_threshold_20,MAE,2.43550658364785,0.0511147991960847,2.435507 +/- 0.051115,15.705128205128204,0.029164385746686783,5
FreeSolv,regression,0.5,voi_reliability_penalized_positive_20,MAE,2.434132718654779,0.0504087658538627,2.434133 +/- 0.050409,8.333333333333334,0.0305382507397578,5
FreeSolv,regression,0.5,voi_router_fixed_budget_20,MAE,2.4374606452049354,0.0546802841376803,2.437461 +/- 0.054680,19.871794871794872,0.027210324189601565,5
FreeSolv,regression,1.0,all_2d,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,0.0,0.0,5
FreeSolv,regression,1.0,all_3d_noisy_aug,MAE,2.6614401810963946,0.0505194357124597,2.661440 +/- 0.050519,100.0,-0.19676921170185757,5
FreeSolv,regression,1.0,voi_positive_threshold_20,MAE,2.448451943703186,0.0531245374762403,2.448452 +/- 0.053125,16.08974358974359,0.016219025691350808,5
FreeSolv,regression,1.0,voi_reliability_penalized_positive_20,MAE,2.4521627124334,0.0518429298341185,2.452163 +/- 0.051843,3.397435897435898,0.01250825696113722,5
FreeSolv,regression,1.0,voi_router_fixed_budget_20,MAE,2.4510813339367887,0.0507184930795209,2.451081 +/- 0.050718,19.871794871794872,0.013589635457748273,5
HIV,classification,0.0,all_2d,AUROC,0.7313528143104833,0.0052254395815505,0.731353 +/- 0.005225,0.0,0.0,5
HIV,classification,0.0,all_3d_noisy_aug,AUROC,0.7294329090370871,0.0066225608561279,0.729433 +/- 0.006623,100.0,-0.0019199052733961386,5
HIV,classification,0.0,voi_positive_threshold_20,AUROC,0.7180177894306536,0.0051786672120914,0.718018 +/- 0.005179,19.978914074855037,-0.013335024879829627,5
