task,task_type,router,budget,primary_metric,primary_mean,primary_std,call_rate_mean,n_seeds,source_dir
BACE,classification,voi_router,40.0,AUROC,0.8509731833910035,0.0010539600278256535,39.91596638655462,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,voi_router,60.0,AUROC,0.8495386389850058,0.001358924067814137,60.08403361344538,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,voi_router,80.0,AUROC,0.8505046136101498,0.0019523116099192934,79.83193277310924,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,voi_router,100.0,AUROC,0.8467128027681661,0.002201024042864843,100.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,0.0,AUROC,0.9246629659000793,0.0037107396726361506,0.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,5.0,AUROC,0.9257038065027757,0.004175499660494262,4.918032786885246,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,10.0,AUROC,0.9253568596352103,0.0036712052407639455,9.836065573770492,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,20.0,AUROC,0.9260606661379857,0.0038019567090778355,20.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,40.0,AUROC,0.9247323552735924,0.0035310330279306984,40.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,60.0,AUROC,0.9250297383029341,0.00307992099511576,60.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,80.0,AUROC,0.9275773195876287,0.002412980226352061,80.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,flexibility,100.0,AUROC,0.9298473433782712,0.0023193758079199317,100.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,0.0,AUROC,0.9246629659000793,0.0037107396726361506,0.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,5.0,AUROC,0.93550753370341,0.003452348151435166,4.918032786885246,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,10.0,AUROC,0.9400674068199841,0.003656373761450197,9.836065573770492,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,20.0,AUROC,0.9434773988897701,0.0032939039533608364,20.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,40.0,AUROC,0.9450436161776368,0.003035379449828638,40.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,60.0,AUROC,0.9451229183187945,0.0030087168604143602,60.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,80.0,AUROC,0.9450039651070579,0.0030719345460093464,80.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,oracle,100.0,AUROC,0.9298473433782712,0.0023193758079199317,100.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,0.0,AUROC,0.9246629659000793,0.0037107396726361506,0.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,5.0,AUROC,0.9262490087232356,0.0033643588744900876,4.918032786885246,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,10.0,AUROC,0.9264770023790643,0.0025178429817605515,9.836065573770492,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,20.0,AUROC,0.9255650277557497,0.002906554648981332,20.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,40.0,AUROC,0.9273691514670898,0.003878489894101845,40.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,60.0,AUROC,0.9270222045995243,0.002593775622947135,60.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,80.0,AUROC,0.927973830293418,0.0032205665232816613,80.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,random,100.0,AUROC,0.9298473433782712,0.0023193758079199317,100.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,0.0,AUROC,0.9246629659000793,0.0037107396726361506,0.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,5.0,AUROC,0.9245935765265662,0.0037304946467987426,4.918032786885246,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,10.0,AUROC,0.924494448850119,0.0041641411982610635,9.836065573770492,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,20.0,AUROC,0.9260804916732752,0.004059953064644488,20.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,40.0,AUROC,0.9280927835051547,0.003279074014914367,40.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,60.0,AUROC,0.9297482157018241,0.0021229529039629015,60.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,80.0,AUROC,0.9295499603489293,0.0022761838577672147,80.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,uncertainty,100.0,AUROC,0.9298473433782712,0.0023193758079199317,100.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,0.0,AUROC,0.9246629659000793,0.0037107396726361506,0.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,5.0,AUROC,0.9243953211736718,0.0029507097526687474,4.918032786885246,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,10.0,AUROC,0.9248116574147502,0.004490057014244117,9.836065573770492,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,20.0,AUROC,0.9255551149881047,0.002448273004605147,20.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,40.0,AUROC,0.9277755749405234,0.0033324301088282623,40.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,60.0,AUROC,0.928370340999207,0.0035016632472894857,60.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,80.0,AUROC,0.9283009516256939,0.0031080281175633775,80.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,voi_router,100.0,AUROC,0.9298473433782712,0.0023193758079199317,100.0,5,results/if_oof_usr_rdkit2d_combo_cls_5seed
ESOL,regression,flexibility,0.0,MAE,0.6019217134369322,0.011546324794926397,0.0,5,results/if_oof_scalar_rdkit2d_combo_reg_5seed
