task,task_type,method,primary_metric,primary_mean,primary_std,primary_mean_std,n_seeds,call_rate_mean,n_train,n_val,n_test,AUROC_mean_std,AUPRC_mean_std,Accuracy_mean_std,LogLoss_mean_std,MAE_mean_std,RMSE_mean_std,R2_mean_std
ESOL,regression,modality_dropout_early_fusion,MAE,0.6154495571296055,0.0040227976585823,0.615450 +/- 0.004023,5,,374,492,251,,,,,0.615450 +/- 0.004023,0.856151 +/- 0.008675,0.843790 +/- 0.003150
ESOL,regression,moe_stacking_val_calibrated,MAE,0.6381269606278897,0.0084720695557655,0.638127 +/- 0.008472,5,,374,492,251,,,,,0.638127 +/- 0.008472,0.846498 +/- 0.009203,0.847290 +/- 0.003337
FreeSolv,regression,2d_only,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,5,,162,168,312,,,,,2.464671 +/- 0.051040,2.981488 +/- 0.040944,0.474372 +/- 0.014507
FreeSolv,regression,3d_only,MAE,3.83588076206354,0.0853447754287714,3.835881 +/- 0.085345,5,,162,168,312,,,,,3.835881 +/- 0.085345,4.481041 +/- 0.071023,-0.187401 +/- 0.037560
FreeSolv,regression,early_concat_fusion,MAE,2.709429655771989,0.0757153461350691,2.709430 +/- 0.075715,5,,162,168,312,,,,,2.709430 +/- 0.075715,3.230103 +/- 0.053633,0.383003 +/- 0.020404
FreeSolv,regression,gated_val_utility_fusion,MAE,2.432362177500358,0.0554173015240272,2.432362 +/- 0.055417,5,17.692307692307693,162,168,312,,,,,2.432362 +/- 0.055417,2.960613 +/- 0.065475,0.481551 +/- 0.022958
FreeSolv,regression,late_mean_fusion,MAE,3.118022178573486,0.0562051254951822,3.118022 +/- 0.056205,5,,162,168,312,,,,,3.118022 +/- 0.056205,3.586608 +/- 0.053961,0.239329 +/- 0.022941
FreeSolv,regression,late_val_weighted_2d_3d,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,5,,162,168,312,,,,,2.464671 +/- 0.051040,2.981488 +/- 0.040944,0.474372 +/- 0.014507
FreeSolv,regression,late_val_weighted_2d_early,MAE,2.464670969394537,0.051040111855482,2.464671 +/- 0.051040,5,,162,168,312,,,,,2.464671 +/- 0.051040,2.981488 +/- 0.040944,0.474372 +/- 0.014507
FreeSolv,regression,modality_dropout_early_fusion,MAE,2.4709093833703264,0.0639194575242873,2.470909 +/- 0.063919,5,,162,168,312,,,,,2.470909 +/- 0.063919,2.988394 +/- 0.053446,0.471865 +/- 0.019085
FreeSolv,regression,moe_stacking_val_calibrated,MAE,1.4432503284643654,0.0572157258649368,1.443250 +/- 0.057216,5,,162,168,312,,,,,1.443250 +/- 0.057216,1.890603 +/- 0.073226,0.788368 +/- 0.016184
HIV,classification,2d_only,AUROC,0.7313528143104833,0.0052254395815505,0.731353 +/- 0.005225,5,,8259,1844,1897,0.731353 +/- 0.005225,0.218302 +/- 0.006177,0.960042 +/- 0.000699,0.178597 +/- 0.001719,,,
HIV,classification,3d_only,AUROC,0.6717152281473338,0.0059727825060233,0.671715 +/- 0.005973,5,,8259,1844,1897,0.671715 +/- 0.005973,0.070812 +/- 0.002074,0.958882 +/- 0.000000,0.210080 +/- 0.001163,,,
HIV,classification,early_concat_fusion,AUROC,0.7309524816396724,0.0080193398910517,0.730952 +/- 0.008019,5,,8259,1844,1897,0.730952 +/- 0.008019,0.199964 +/- 0.008592,0.959620 +/- 0.000422,0.191491 +/- 0.001576,,,
HIV,classification,gated_val_utility_fusion,AUROC,0.7313542239325637,0.0096800617264641,0.731354 +/- 0.009680,5,69.60463890353189,8259,1844,1897,0.731354 +/- 0.009680,0.203195 +/- 0.011613,0.960148 +/- 0.000715,0.188868 +/- 0.001362,,,
HIV,classification,late_mean_fusion,AUROC,0.7432880844645551,0.0079183271647218,0.743288 +/- 0.007918,5,,8259,1844,1897,0.743288 +/- 0.007918,0.186802 +/- 0.007712,0.958882 +/- 0.000000,0.178076 +/- 0.001197,,,
HIV,classification,late_val_weighted_2d_3d,AUROC,0.7407479454758178,0.009611896989349,0.740748 +/- 0.009612,5,,8259,1844,1897,0.740748 +/- 0.009612,0.183993 +/- 0.023900,0.959410 +/- 0.000667,0.179751 +/- 0.002781,,,
HIV,classification,late_val_weighted_2d_early,AUROC,0.7325820047645226,0.0069096367351218,0.732582 +/- 0.006910,5,,8259,1844,1897,0.732582 +/- 0.006910,0.204250 +/- 0.010349,0.959620 +/- 0.000422,0.189016 +/- 0.002540,,,
HIV,classification,modality_dropout_early_fusion,AUROC,0.7359820132222552,0.0092725821185218,0.735982 +/- 0.009273,5,,8259,1844,1897,0.735982 +/- 0.009273,0.237020 +/- 0.004509,0.960780 +/- 0.000715,0.177479 +/- 0.002064,,,
HIV,classification,moe_stacking_val_calibrated,AUROC,0.756800016915465,0.0045810579272241,0.756800 +/- 0.004581,5,,8259,1844,1897,0.756800 +/- 0.004581,0.166295 +/- 0.013046,0.878651 +/- 0.004961,0.447732 +/- 0.004715,,,
Lipophilicity,regression,2d_only,MAE,0.5660385122697215,0.0014256475035634,0.566039 +/- 0.001426,5,,1812,1178,1210,,,,,0.566039 +/- 0.001426,0.733716 +/- 0.001506,0.571022 +/- 0.001761
Lipophilicity,regression,3d_only,MAE,0.8474885548465508,0.0035436813585046,0.847489 +/- 0.003544,5,,1812,1178,1210,,,,,0.847489 +/- 0.003544,1.044282 +/- 0.004014,0.131001 +/- 0.006670
Lipophilicity,regression,early_concat_fusion,MAE,0.5770470884874833,0.0045616337119532,0.577047 +/- 0.004562,5,,1812,1178,1210,,,,,0.577047 +/- 0.004562,0.740031 +/- 0.004861,0.563589 +/- 0.005741
Lipophilicity,regression,gated_val_utility_fusion,MAE,0.5645793822808699,0.0032025835000649,0.564579 +/- 0.003203,5,39.6198347107438,1812,1178,1210,,,,,0.564579 +/- 0.003203,0.730059 +/- 0.003623,0.575279 +/- 0.004224
Lipophilicity,regression,late_mean_fusion,MAE,0.669163511947955,0.0022277241529149,0.669164 +/- 0.002228,5,,1812,1178,1210,,,,,0.669164 +/- 0.002228,0.836238 +/- 0.002630,0.442761 +/- 0.003504
Lipophilicity,regression,late_val_weighted_2d_3d,MAE,0.5660385122697215,0.0014256475035634,0.566039 +/- 0.001426,5,,1812,1178,1210,,,,,0.566039 +/- 0.001426,0.733716 +/- 0.001506,0.571022 +/- 0.001761
Lipophilicity,regression,late_val_weighted_2d_early,MAE,0.5658682343502675,0.0008133626433491,0.565868 +/- 0.000813,5,,1812,1178,1210,,,,,0.565868 +/- 0.000813,0.731144 +/- 0.000868,0.574026 +/- 0.001012
Lipophilicity,regression,modality_dropout_early_fusion,MAE,0.5647753840805085,0.0032818517653042,0.564775 +/- 0.003282,5,,1812,1178,1210,,,,,0.564775 +/- 0.003282,0.731269 +/- 0.004700,0.573863 +/- 0.005500
Lipophilicity,regression,moe_stacking_val_calibrated,MAE,0.5048521098021638,0.0018750164270666,0.504852 +/- 0.001875,5,,1812,1178,1210,,,,,0.504852 +/- 0.001875,0.657495 +/- 0.001913,0.655518 +/- 0.002005
