task,task_type,seed,router,BIG,oracle_BIG,oracle_abs_scale,norm_BIG_by_oracle
BACE,classification,0,R7_oof_selected_top,-0.0038747116493656,0.0192401960784313,0.019240206078431302,-0.201386182329369
BACE,classification,0,R8_oof_selected_gated,-0.0004919982698961,0.0192401960784313,0.019240206078431302,-0.025571361756236127
BACE,classification,0,R9_oof_safe_guardrail,-0.0004919982698961,0.0192401960784313,0.019240206078431302,-0.025571361756236127
BACE,classification,0,flexibility,-0.0069546568627451,0.0192401960784313,0.019240206078431302,-0.3614647802832749
BACE,classification,0,old_voi,-0.0064689662629758,0.0192401960784313,0.019240206078431302,-0.33622125649826873
BACE,classification,0,oracle,0.0192401960784313,0.0192401960784313,0.019240206078431302,0.9999994802550471
BACE,classification,0,random,-0.0060796929065743,0.0192401960784313,0.019240206078431302,-0.31598897027354456
BACE,classification,0,uncertainty,-0.0088685841983852,0.0192401960784313,0.019240206078431302,-0.46094018755480376
BACE,classification,1,R7_oof_selected_top,-0.0087532439446366,0.0206314878892734,0.0206314978892734,-0.4242660417393898
BACE,classification,1,R8_oof_selected_gated,-0.0016742358708188,0.0206314878892734,0.0206314978892734,-0.08114950643933896
BACE,classification,1,R9_oof_safe_guardrail,-0.0016742358708188,0.0206314878892734,0.0206314978892734,-0.08114950643933896
BACE,classification,1,flexibility,-0.0044838523644751,0.0206314878892734,0.0206314978892734,-0.2173304327460546
BACE,classification,1,old_voi,-0.0083396410034601,0.0206314878892734,0.0206314978892734,-0.40421888164484626
BACE,classification,1,oracle,0.0206314878892734,0.0206314878892734,0.0206314978892734,0.999999515304218
BACE,classification,1,random,-0.0030186707035754,0.0206314878892734,0.0206314978892734,-0.14631369567911248
BACE,classification,1,uncertainty,-0.0118692329873125,0.0206314878892734,0.0206314978892734,-0.5752967162642842
BACE,classification,2,R7_oof_selected_top,0.0001063292964244,0.0229094579008073,0.022909467900807303,0.004641281800379706
BACE,classification,2,R8_oof_selected_gated,0.0022689590542098,0.0229094579008073,0.022909467900807303,0.09904023367255267
BACE,classification,2,R9_oof_safe_guardrail,0.0022689590542098,0.0229094579008073,0.022909467900807303,0.09904023367255267
BACE,classification,2,flexibility,-0.0025717272202999,0.0229094579008073,0.022909467900807303,-0.11225608693466317
BACE,classification,2,old_voi,-0.004637038638985,0.0229094579008073,0.022909467900807303,-0.20240708597259022
BACE,classification,2,oracle,0.0229094579008073,0.0229094579008073,0.022909467900807303,0.9999995634992465
BACE,classification,2,random,-0.003357482698962,0.0229094579008073,0.022909467900807303,-0.1465543727815558
BACE,classification,2,uncertainty,-0.0079296424452134,0.0229094579008073,0.022909467900807303,-0.3461294901979792
BACE,classification,3,R7_oof_selected_top,-0.0080810265282583,0.0208873990772779,0.020887409077277902,-0.386885060677494
BACE,classification,3,R8_oof_selected_gated,-0.0080810265282583,0.0208873990772779,0.020887409077277902,-0.386885060677494
BACE,classification,3,R9_oof_safe_guardrail,0.0,0.0208873990772779,0.020887409077277902,0.0
BACE,classification,3,flexibility,-0.0070303489042675,0.0208873990772779,0.020887409077277902,-0.33658310029056565
BACE,classification,3,old_voi,-0.0050983996539792,0.0208873990772779,0.020887409077277902,-0.24408961566829407
BACE,classification,3,oracle,0.0208873990772779,0.0208873990772779,0.020887409077277902,0.9999995212426795
BACE,classification,3,random,-0.0030826485005766,0.0208873990772779,0.020887409077277902,-0.1475840535880546
BACE,classification,3,uncertainty,-0.0090974625144174,0.0208873990772779,0.020887409077277902,-0.43554767758697066
BACE,classification,4,R7_oof_selected_top,-0.0083801903114186,0.0157691753171857,0.015769185317185703,-0.5314282344241102
BACE,classification,4,R8_oof_selected_gated,-0.0024617935409457,0.0157691753171857,0.015769185317185703,-0.15611418671469146
BACE,classification,4,R9_oof_safe_guardrail,-0.0024617935409457,0.0157691753171857,0.015769185317185703,-0.15611418671469146
BACE,classification,4,flexibility,-0.0089082324106112,0.0157691753171857,0.015769185317185703,-0.5649139274749189
BACE,classification,4,old_voi,-0.0105590397923875,0.0157691753171857,0.015769185317185703,-0.6695995753743829
BACE,classification,4,oracle,0.0157691753171857,0.0157691753171857,0.015769185317185703,0.9999993658518306
BACE,classification,4,random,-0.0110771698385235,0.0157691753171857,0.015769185317185703,-0.7024566973952223
BACE,classification,4,uncertainty,-0.0133091839677047,0.0157691753171857,0.015769185317185703,-0.843999464778943
BBBP,classification,0,R7_oof_selected_top,0.0031287172878667,0.0155010904044409,0.0155011004044409,0.2018383989674924
BBBP,classification,0,R8_oof_selected_gated,0.0015575436161776,0.0155010904044409,0.0155011004044409,0.10047955148599517
BBBP,classification,0,R9_oof_safe_guardrail,0.0,0.0155010904044409,0.0155011004044409,0.0
BBBP,classification,0,flexibility,-0.0002713620142744,0.0155010904044409,0.0155011004044409,-0.0175059839104492
BBBP,classification,0,old_voi,0.0004126189532117,0.0155010904044409,0.0155011004044409,0.02661868786382992
BBBP,classification,0,oracle,0.0155010904044409,0.0155010904044409,0.0155011004044409,0.9999993548845089
BBBP,classification,0,random,-0.0001586042823156,0.0155010904044409,0.0155011004044409,-0.010231807947657804
BBBP,classification,0,uncertainty,0.0014348731165741,0.0155010904044409,0.0155011004044409,0.09256588752647678
BBBP,classification,1,R7_oof_selected_top,0.0004894429024583,0.0151962727993655,0.0151962827993655,0.03220806752021857
BBBP,classification,1,R8_oof_selected_gated,-0.0007843477398889,0.0151962727993655,0.0151962827993655,-0.051614447443795224
BBBP,classification,1,R9_oof_safe_guardrail,0.0,0.0151962727993655,0.0151962827993655,0.0
BBBP,classification,1,flexibility,-0.001038362410785,0.0151962727993655,0.0151962827993655,-0.06833002678973277
BBBP,classification,1,old_voi,6.815027755749378e-05,0.0151962727993655,0.0151962827993655,0.004484667629398112
BBBP,classification,1,oracle,0.0151962727993655,0.0151962727993655,0.0151962827993655,0.9999993419443339
BBBP,classification,1,random,0.0007905432196669,0.0151962727993655,0.0151962827993655,0.05202214450101627
BBBP,classification,1,uncertainty,0.0008673671689135,0.0151962727993655,0.0151962827993655,0.05707758801051766
BBBP,classification,2,R7_oof_selected_top,0.0057345360824742,0.0178690027755748,0.017869012775574802,0.32092069967697107
BBBP,classification,2,R8_oof_selected_gated,0.0042525773195875,0.0178690027755748,0.017869012775574802,0.23798613683909603
BBBP,classification,2,R9_oof_safe_guardrail,0.0,0.0178690027755748,0.017869012775574802,0.0
BBBP,classification,2,flexibility,0.002388977002379,0.0178690027755748,0.017869012775574802,0.13369384377208002
BBBP,classification,2,old_voi,0.0046639571768437,0.0178690027755748,0.017869012775574802,0.2610081057874039
BBBP,classification,2,oracle,0.0178690027755748,0.0178690027755748,0.017869012775574802,0.9999994403719933
BBBP,classification,2,random,0.0053442208564631,0.0178690027755748,0.017869012775574802,0.2990775664880675
BBBP,classification,2,uncertainty,0.0050183386201427,0.0178690027755748,0.017869012775574802,0.2808402838573309
BBBP,classification,3,R7_oof_selected_top,0.0017644726407612,0.0170858941316415,0.017085904131641502,0.10327066259803958
BBBP,classification,3,R8_oof_selected_gated,2.9738302934115258e-05,0.0170858941316415,0.017085904131641502,0.001740516785356573
BBBP,classification,3,R9_oof_safe_guardrail,0.0,0.0170858941316415,0.017085904131641502,0.0
BBBP,classification,3,flexibility,0.0012960943695479,0.0170858941316415,0.017085904131641502,0.07585752322861591
BBBP,classification,3,old_voi,0.0032253667724028,0.0170858941316415,0.017085904131641502,0.1887735496788678
BBBP,classification,3,oracle,0.0170858941316415,0.0170858941316415,0.017085904131641502,0.9999994147222222
BBBP,classification,3,random,0.0027520321173671,0.0170858941316415,0.017085904131641502,0.16107032417854864
BBBP,classification,3,uncertainty,0.0035289452815225,0.0170858941316415,0.017085904131641502,0.206541325196085
BBBP,classification,4,R7_oof_selected_top,0.0053789155432196,0.0180263679619349,0.018026377961934903,0.29839136595149046
BBBP,classification,4,R8_oof_selected_gated,0.0,0.0180263679619349,0.018026377961934903,0.0
BBBP,classification,4,R9_oof_safe_guardrail,0.0,0.0180263679619349,0.018026377961934903,0.0
BBBP,classification,4,flexibility,0.0051360527359238,0.0180263679619349,0.018026377961934903,0.2849187311377393
BBBP,classification,4,old_voi,0.0053380253766851,0.0180263679619349,0.018026377961934903,0.296123014171624
BBBP,classification,4,oracle,0.0180263679619349,0.0180263679619349,0.018026377961934903,0.9999994452573877
BBBP,classification,4,random,0.0039936062648691,0.0180263679619349,0.018026377961934903,0.22154235716693232
BBBP,classification,4,uncertainty,0.0061273295003964,0.0180263679619349,0.018026377961934903,0.3399090773163123
ESOL,regression,0,R7_oof_selected_top,-0.0092526838199075,0.0323002136997967,0.0323002236997967,-0.2864588154529015
ESOL,regression,0,R8_oof_selected_gated,-0.0011812354463979,0.0323002136997967,0.0323002236997967,-0.036570503578442236
ESOL,regression,0,R9_oof_safe_guardrail,-0.0011812354463979,0.0323002136997967,0.0323002236997967,-0.036570503578442236
ESOL,regression,0,flexibility,-0.0103484169454688,0.0323002136997967,0.0323002236997967,-0.3203822066883683
ESOL,regression,0,old_voi,-0.0106112846315619,0.0323002136997967,0.0323002236997967,-0.3285204687801802
ESOL,regression,0,oracle,0.0323002136997967,0.0323002136997967,0.0323002236997967,0.9999996904046209
ESOL,regression,0,random,-0.0122727777020389,0.0323002136997967,0.0323002236997967,-0.3799595264758536
ESOL,regression,0,uncertainty,-0.0144902813099294,0.0323002136997967,0.0323002236997967,-0.4486124134806101
ESOL,regression,1,R7_oof_selected_top,0.0174124228624709,0.0597873413114434,0.0597873513114434,0.29123924175477117
ESOL,regression,1,R8_oof_selected_gated,0.004049839188853,0.0597873413114434,0.0597873513114434,0.06773739093669891
