final_router,baseline,macro_raw_task_mean_delta,macro_raw_task_ci95_low,macro_raw_task_ci95_high,macro_norm_task_mean_delta,macro_norm_task_ci95_low,macro_norm_task_ci95_high,n_tasks,n_tasks_positive_raw_mean,n_tasks_positive_norm_mean,n_bootstrap
R9_oof_safe_guardrail,random,0.04675576820226787,-0.0010060116178093703,0.14444433338758608,0.9395578957592626,-0.03981568243762156,2.9893719272842776,6,5,5,5000
R9_oof_safe_guardrail,uncertainty,0.04055777379116543,-0.0005447116346304182,0.1207801872337797,0.8661074051285421,-0.033090787430072925,2.794322619888504,6,4,4,5000
R9_oof_safe_guardrail,flexibility,0.05889428368656299,-0.000509475025104387,0.17621563393383446,1.1772204064620186,-0.01927214067936361,3.5334820045998168,6,5,5,5000
R9_oof_safe_guardrail,old_voi,0.04298760242003228,-0.0006611333568017224,0.13002377457834616,0.8288893612175275,-0.03791614041336053,2.471464283133894,6,4,5,5000
R9_oof_safe_guardrail,R7_oof_selected_top,0.0407716818116313,-0.0008044360666879127,0.12281052093259817,0.7774139957924118,-0.04722298649195535,2.4351711147480595,6,4,4,5000
R9_oof_safe_guardrail,R8_oof_selected_gated,0.007467576830361777,-0.0012100586534501082,0.026549580852887774,0.1134785656193668,-0.03623682484342103,0.4188319249158571,6,4,4,5000
