router,router_label,macro_raw_BIG_task_mean,macro_norm_BIG_task_mean,macro_norm_BIG_task_std,n_tasks,n_seeds_per_task_min,n_seeds_per_task_max,macro_norm_rank
oracle,Oracle,0.023231007312781073,0.6666664144548221,0.7453557943941632,6,5,5,1
R9_oof_safe_guardrail,R9 Utility-LCB Guardrail,0.00030471109581297256,0.0010437741684685938,0.019473615896242698,6,5,5,2
R8_oof_selected_gated,R8 OOF Selected Gated,-0.007162865734548805,-0.11243479145089819,0.22306638140931953,6,5,5,3
R7_oof_selected_top,R7 Top-Budget,-0.04046697071581833,-0.7763702216239432,1.6344298557794243,6,5,5,4
old_voi,Old VOI,-0.04268289132421932,-0.8278455870490591,1.7129862351101188,6,5,5,5
uncertainty,Uncertainty,-0.040253062695352455,-0.8650636309600735,1.7116686793010958,6,5,5,6
random,Random,-0.0464510571064549,-0.938514121590794,2.002180929780527,6,5,5,7
flexibility,Flexibility,-0.05858957259075002,-1.17617663229355,2.4908483582289156,6,5,5,8
