task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
BACE,classification,old_voi,80.0,0.8505046136101498,0.0019523116099192934,0.850505 +/- 0.001952,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,old_voi,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BACE,classification,oracle,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,oracle,5.0,0.870847750865052,0.0019771477798630204,0.870848 +/- 0.001977,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,oracle,10.0,0.8756199538638985,0.0021729855860000676,0.875620 +/- 0.002173,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,oracle,20.0,0.8820285467128027,0.0019956697200689865,0.882029 +/- 0.001996,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,oracle,40.0,0.8868079584775085,0.0016604590598486898,0.886808 +/- 0.001660,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,oracle,60.0,0.8865556516724336,0.0019801943152698196,0.886556 +/- 0.001980,60.08403361344538,0.0,60.084034 +/- 0.000000,5
BACE,classification,oracle,80.0,0.8796424452133795,0.0016499099770380494,0.879642 +/- 0.001650,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,oracle,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BACE,classification,random,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,random,5.0,0.8585351787773934,0.00184949454565451,0.858535 +/- 0.001849,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,random,10.0,0.8576773356401384,0.002291503278778587,0.857677 +/- 0.002292,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,random,20.0,0.8559256055363322,0.0029844987148429022,0.855926 +/- 0.002984,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,random,40.0,0.856603229527105,0.002845372117512759,0.856603 +/- 0.002845,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,random,60.0,0.8511173587081892,0.003663556939020973,0.851117 +/- 0.003664,60.08403361344538,0.0,60.084034 +/- 0.000000,5
BACE,classification,random,80.0,0.8486159169550174,0.004419626093215975,0.848616 +/- 0.004420,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,random,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BACE,classification,uncertainty,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,uncertainty,5.0,0.8561130334486735,0.0029157653425831384,0.856113 +/- 0.002916,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,uncertainty,10.0,0.8540513264129181,0.0024748649655570894,0.854051 +/- 0.002475,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,uncertainty,20.0,0.8502811418685121,0.002098283403868562,0.850281 +/- 0.002098,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,uncertainty,40.0,0.8484356978085351,0.000519831498769348,0.848436 +/- 0.000520,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,uncertainty,60.0,0.8452061707035755,0.0019096563656053737,0.845206 +/- 0.001910,60.08403361344538,0.0,60.084034 +/- 0.000000,5
BACE,classification,uncertainty,80.0,0.844434832756632,0.0021936453366065574,0.844435 +/- 0.002194,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,uncertainty,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,R7_nested_top,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R7_nested_top,5.0,0.9253865979381445,0.003915430287774018,0.925387 +/- 0.003915,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,R7_nested_top,10.0,0.9258723235527361,0.00432514852065659,0.925872 +/- 0.004325,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,R7_nested_top,20.0,0.9252874702616971,0.004097056115217521,0.925287 +/- 0.004097,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,R7_nested_top,40.0,0.9265563045202221,0.0039239287234748435,0.926556 +/- 0.003924,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,R7_nested_top,60.0,0.9272997620935766,0.003377243712719444,0.927300 +/- 0.003377,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,R7_nested_top,80.0,0.9290741475019825,0.0031203969205966953,0.929074 +/- 0.003120,80.0,0.0,80.000000 +/- 0.000000,5
