task,metric,n_seeds,reference_mean,reference_sd,k1_augmented_mean,k1_augmented_sd,k10_augmented_mean,k10_augmented_sd,k10_minus_k1_directional,k10_minus_reference_directional,max_abs_paired_2d_difference
BACE,AUROC,5,0.8583621683967705,0.0019020216359908015,0.8625432525951557,0.0035357949379398426,0.8467128027681661,0.002201024042864843,-0.015830449826989668,-0.011649365628604413,0
BBBP,AUROC,5,0.9246629659000793,0.0037107396726361506,0.9281522601110229,0.003681709196588126,0.9298473433782712,0.0023193758079199317,0.0016950832672483207,0.005184377478191893,0
ESOL,MAE,5,0.6019217134369322,0.011546324794926397,0.5979066125284629,0.004841393015411789,0.5987428289109492,0.004920617971866427,-0.0008362163824863211,0.003178884525983028,0
FreeSolv,MAE,5,2.464670969394537,0.05104011185548207,2.846871204192822,0.036657926459176024,3.0060841249258092,0.09192950822563972,-0.15921292073298732,-0.5414131555312722,0
HIV,AUROC,5,0.7313528143104833,0.0052254395815505075,0.7340437828618148,0.0034278855746350282,0.7294329090370871,0.0066225608561279,-0.00461087382472769,-0.0019199052733961386,0
Lipophilicity,MAE,5,0.5660385122697215,0.0014256475035634149,0.5800187265695619,0.002238131407681978,0.5731921201118754,0.004053162250512903,0.006826606457686513,-0.0071536078421539084,0
