task,task_type,router,BIG_mean,BIG_std,BIG_mean_std,n_seeds
Lipophilicity,regression,R1_binary,-0.0037846165127892336,0.0027303618536308983,-0.003785 +/- 0.002730,5
Lipophilicity,regression,R2_margin_binary,-0.003128477277893673,0.0029522260086695794,-0.003128 +/- 0.002952,5
Lipophilicity,regression,R3_three_class,-0.0032807720980270088,0.002872050868102706,-0.003281 +/- 0.002872,5
Lipophilicity,regression,R4_pairwise_margin_weighted,-0.0025777683409088136,0.0031737206025910514,-0.002578 +/- 0.003174,5
Lipophilicity,regression,R5_rank_regression,-0.0025781024393463923,0.003334736527621955,-0.002578 +/- 0.003335,5
Lipophilicity,regression,R6_rank_reliability,-0.0025777683409088136,0.0031737206025910514,-0.002578 +/- 0.003174,5
Lipophilicity,regression,flexibility,-0.0020715828679120397,0.001975936248199078,-0.002072 +/- 0.001976,5
Lipophilicity,regression,old_voi,-0.0021389153575010617,0.0023165857153548196,-0.002139 +/- 0.002317,5
Lipophilicity,regression,oracle,0.04367222982939608,0.0032142949025959844,0.043672 +/- 0.003214,5
Lipophilicity,regression,random,-0.003069334134188579,0.002556056572119056,-0.003069 +/- 0.002556,5
Lipophilicity,regression,uncertainty,-0.0037839239801651303,0.0025554690360688123,-0.003784 +/- 0.002555,5
