task,task_type,method,method_group,primary_metric,primary_mean,primary_std,n_seeds,source,call_rate,selection_family,selection_note,baseline_aware_mean,baseline_aware_std
BACE,classification,LR_ECFPDesc,classic-linear,AUROC,0.8491565743944637,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
BACE,classification,XGB_ECFPDesc,descriptor-boosting,AUROC,0.8448457324106113,0.0023696563202716,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
BBBP,classification,ExtraTrees_ECFPDesc,classic-ensemble,AUROC,0.941975614591594,0.0027351695336326,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
BBBP,classification,RF_ECFPDesc,classic-ensemble,AUROC,0.9386796193497224,0.0026943132223524,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
BBBP,classification,SVM_RBF_Desc,classic-kernel,AUROC,0.9126189532117368,1.1102230246251563e-16,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
BBBP,classification,LR_ECFPDesc,classic-linear,AUROC,0.9316019032513878,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
BBBP,classification,XGB_ECFPDesc,descriptor-boosting,AUROC,0.9125892149088026,0.0016329310294983,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
ESOL,regression,ExtraTrees_ECFPDesc,classic-ensemble,MAE,1.0569433853917645,0.0115420573869385,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
ESOL,regression,RF_ECFPDesc,classic-ensemble,MAE,1.0026824587364824,0.0111376200572187,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
ESOL,regression,KRR_RBF_Desc,classic-kernel,MAE,0.9225162852780228,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
ESOL,regression,SVR_RBF_Desc,classic-kernel,MAE,0.7169190296303157,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
ESOL,regression,Ridge_ECFPDesc,classic-linear,MAE,0.7767290843815442,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
ESOL,regression,XGB_ECFPDesc,descriptor-boosting,MAE,0.570500161259108,0.005075383101475,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
FreeSolv,regression,ExtraTrees_ECFPDesc,classic-ensemble,MAE,4.535813641025644,0.0549950159710339,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
FreeSolv,regression,RF_ECFPDesc,classic-ensemble,MAE,4.3311945787545785,0.0813669254160588,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
FreeSolv,regression,KRR_RBF_Desc,classic-kernel,MAE,3.433402192371415,4.440892098500626e-16,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
FreeSolv,regression,SVR_RBF_Desc,classic-kernel,MAE,6.383847890742368,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
FreeSolv,regression,Ridge_ECFPDesc,classic-linear,MAE,3.836911997978503,4.440892098500626e-16,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
FreeSolv,regression,XGB_ECFPDesc,descriptor-boosting,MAE,2.2457243956686592,0.0442383461172208,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
HIV,classification,ExtraTrees_ECFPDesc,classic-ensemble,AUROC,0.7277286759419799,0.0060013877446988,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
HIV,classification,RF_ECFPDesc,classic-ensemble,AUROC,0.7342242144880957,0.0187577123163737,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
HIV,classification,SVM_RBF_Desc,classic-kernel,AUROC,0.6386997645931126,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
HIV,classification,LR_ECFPDesc,classic-linear,AUROC,0.7392128670303492,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
HIV,classification,XGB_ECFPDesc,descriptor-boosting,AUROC,0.6943629213007992,0.0045269319046897,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
Lipophilicity,regression,ExtraTrees_ECFPDesc,classic-ensemble,MAE,0.7786848198347107,0.0015764915042974,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
Lipophilicity,regression,RF_ECFPDesc,classic-ensemble,MAE,0.7578479729168901,0.0026290180125755,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
Lipophilicity,regression,KRR_RBF_Desc,classic-kernel,MAE,0.7918020749954002,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
Lipophilicity,regression,SVR_RBF_Desc,classic-kernel,MAE,0.785349899339517,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
Lipophilicity,regression,Ridge_ECFPDesc,classic-linear,MAE,0.8176993418685662,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
Lipophilicity,regression,XGB_ECFPDesc,descriptor-boosting,MAE,0.6436100468402214,0.003512207444158,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/baseline_matrix_scaffold_balanced_5seed/method_summary.csv,,
ESOL,regression,Chemprop_dmpnn,Chemprop D-MPNN,MAE,0.9008509018004612,0.0094211362936725,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_reg_small_5seed_e30/method_summary.csv,,
ESOL,regression,Chemprop_dmpnn_rdkit2d,Chemprop D-MPNN,MAE,0.6503819286928346,0.0173538587759404,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_reg_small_5seed_e30/method_summary.csv,,
FreeSolv,regression,Chemprop_dmpnn,Chemprop D-MPNN,MAE,4.662007707262387,0.5724207961699306,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_reg_small_5seed_e30/method_summary.csv,,
FreeSolv,regression,Chemprop_dmpnn_rdkit2d,Chemprop D-MPNN,MAE,3.7070319630296167,0.491505133008557,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_reg_small_5seed_e30/method_summary.csv,,
Lipophilicity,regression,Chemprop_dmpnn,Chemprop D-MPNN,MAE,0.5172680408895457,0.00459386813425,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_lipo_5seed_e30/method_summary.csv,,
Lipophilicity,regression,Chemprop_dmpnn_rdkit2d,Chemprop D-MPNN,MAE,0.5058269222396988,0.0060951951608563,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_lipo_5seed_e30/method_summary.csv,,
BACE,classification,Chemprop_dmpnn,Chemprop D-MPNN,AUROC,0.828647635524798,0.0063674258007421,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_cls_small_5seed_e30/method_summary.csv,,
BACE,classification,Chemprop_dmpnn_rdkit2d,Chemprop D-MPNN,AUROC,0.8292099192618224,0.0010676763887874,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_cls_small_5seed_e30/method_summary.csv,,
