task,n_molecules_with_conformer_attempt,conformer_success_rate,mean_etkdg_mmff_elapsed_sec,p95_etkdg_mmff_elapsed_sec,total_etkdg_mmff_cpu_hours_if_all,r9_actual_call_rate_at_20,oracle_call_rate_at_20,estimated_r9_cpu_hours_at_test_scale,estimated_oracle20_cpu_hours_at_test_scale
BACE,1513,1.0,1.3116970586997345,2.802225446701048,0.5512771249479718,9.663865546218487,20.168067226890756,0.00838028676391497,0.01748929411599646
BBBP,1975,0.990379746835443,0.8816363063039659,2.05452663898468,0.4836754735973146,0.0,20.0,0.0,0.014938837412372757
ESOL,1117,1.0,0.1643712213237902,0.7105144500732424,0.051000737282964906,4.54183266932271,19.9203187250996,0.0005205088675253357,0.002282933629497086
FreeSolv,642,1.0,0.04833553438988797,0.18040007352828957,0.008619836966196687,0.0,19.871794871794872,0.0,0.0008324453144925151
HIV,12000,0.9644166666666667,0.9604145643313726,2.1279602050781237,3.201381881104575,0.0,19.978914074855034,0.0,0.10111031107821951
Lipophilicity,4200,0.9997619047619047,0.6662195875531152,1.4172908186912534,0.7772561854786343,5.75206611570248,20.0,0.012880245359360226,0.04478476116329274
