task,r9_acquired,n,clean_utility_mean,clean_utility_std,MolWt_mean,MolWt_std,RotatableBonds_mean,RotatableBonds_std,RingCount_mean,RingCount_std,FractionCSP3_mean,FractionCSP3_std,TPSA_mean,TPSA_std,MolLogP_mean,MolLogP_std,HeavyAtomCount_mean,HeavyAtomCount_std
BACE,False,1075,-0.031283091946104256,0.3794409016689216,511.80678697674426,112.16224345121455,8.904186046511628,5.079180416993594,3.955348837209302,0.5371286722951336,0.33873606985555144,0.13974340142918276,95.84326511627908,25.38096730872332,3.5061951255813977,1.0830291362820348,36.458604651162794,7.456697332527108
BACE,True,115,-0.03964699031031313,0.34411982227663973,512.7127304347828,108.13612444225848,8.417391304347825,4.959454215684181,3.982608695652174,0.4952867093766255,0.3013190563134353,0.11291902204193273,99.60643478260867,30.186689706281815,3.5984038260869586,1.1533466323122195,36.45217391304348,7.094899920490044
BBBP,False,1525,0.0022452585973934814,0.24289665962869741,355.0551803278689,111.2006094140321,4.127868852459017,3.0492529068405676,3.1081967213114754,1.2303968218538637,0.4713293247567724,0.21275118030495951,86.67183606557376,64.66749315159174,1.6367055081967223,2.6852281051888602,24.668852459016392,7.510612373366637
ESOL,False,1191,0.0005947861299106242,0.17731547714777737,231.91275650713686,111.107471343473,2.1696053736356005,2.656170826130079,1.8438287153652393,1.4566428944313785,0.4209301029785021,0.3873013203335875,28.189185558354325,35.38582341486337,3.3409178841309837,2.1535381262975983,15.080604534005039,7.098364231305825
ESOL,True,64,0.051267340615391774,0.2053251711399706,266.43003125,103.91486747974204,1.578125,3.4814915955892713,2.640625,1.5157080958238731,0.25847333102859904,0.3495469082927544,20.108281249999997,34.43656908941136,4.376128125000002,2.246902869227431,16.9375,5.898277930013347
FreeSolv,False,1560,-0.541413155531272,0.897987488115051,132.66667628205127,76.20483927159884,1.7243589743589745,1.9847840621982926,0.41025641025641024,0.7836674268741095,0.731548890923891,0.36740089628592465,15.452371794871794,21.995628774791466,1.968164102564103,1.5694842124778712,7.7756410256410255,4.198527060741457
HIV,False,9485,-0.012159906776003681,0.16910548502292008,327.2437981022668,142.4979368763347,5.337374802319451,5.391469751472172,1.8850817079599367,1.087908460679793,0.32023364291209905,0.24350337529304328,82.68668423827094,59.30202102741015,2.609261344227729,2.2604804589390497,22.121244069583554,9.667776229775649
Lipophilicity,False,5945,-0.0074750230242165315,0.17841883626414298,389.0148366694703,96.84599454876134,5.336248948696383,2.676062773986365,3.4595458368376786,1.0430279303156185,0.2876551278709212,0.17264243215690003,78.99792430613962,29.246575610783175,3.450073863751053,1.260007341590746,27.379142136248948,6.661587795393529
Lipophilicity,True,105,0.01104461365654353,0.16849347087225702,394.4469142857145,99.48580727885407,5.628571428571429,2.781315207903319,3.742857142857143,1.1604754614826185,0.2998293958929852,0.1704803187380285,73.89561904761905,26.55077374375258,3.74387123809524,1.2648104593937086,28.152380952380952,6.979063404736055
