policy,macro_BIG_mean,macro_BIG_sd,macro_normalized_BIG_mean,macro_normalized_BIG_sd,macro_call_rate_mean,macro_call_rate_sd
R7,0.004491930926378607,0.011586103660900767,-0.02821206084013363,0.09095150536222031,20.006524565099078,0.01803734205008715
R8,0.002276082887555118,0.004013032940876476,-0.006929324672363743,0.04612975559367864,12.997441134796452,0.20168622427983637
R9,-0.00016822081523290967,0.0005346047239053547,-0.005375320513287608,0.013394854742130797,4.336216805778079,0.7673186952445226
Random,0.000979691979748003,0.010448235122860304,-0.067330903848997,0.05091186135323027,20.006524565099078,0.01803734205008715
