task,task_type,seed,router,budget,call_rate,primary_metric,primary_value,metric_MAE,metric_RMSE,metric_R2,all2d_MAE,delta_MAE_reduction_vs_2D,relative_reduction_pct
QM9_MU,regression,0,voi_router,20.0,20.0,MAE,0.5984943075411916,0.5984943075411916,0.8326538152100112,0.6412029865791706,0.6257746485722661,0.027280341031074462,4.359451296615456
QM9_MU,regression,0,random,20.0,20.0,MAE,0.6319338280618786,0.6319338280618786,0.8732817472443097,0.605334982810811,0.6257746485722661,-0.006159179489612532,-0.9842488032496979
QM9_MU,regression,0,uncertainty,20.0,20.0,MAE,0.6017009088038207,0.6017009088038207,0.813098041486218,0.6578585459899224,0.6257746485722661,0.0240737397684454,3.8470302086175523
QM9_MU,regression,0,flexibility,20.0,20.0,MAE,0.6144858279877304,0.6144858279877304,0.8544085683315216,0.6222094792819006,0.6257746485722661,0.01128882058453562,1.8039753784036456
QM9_MU,regression,0,oracle,20.0,20.0,MAE,0.5300195149982572,0.5300195149982572,0.7432036787211102,0.7141517300477218,0.6257746485722661,0.09575513357400889,15.301855674799015
QM9_MU,regression,1,voi_router,20.0,20.0,MAE,0.6236435879627465,0.6236435879627465,0.8306047497477311,0.6429667302505828,0.6307151150470972,0.0070715270843506595,1.1211919479403327
QM9_MU,regression,1,random,20.0,20.0,MAE,0.6369960703989268,0.6369960703989268,0.8669288407815307,0.6110562750858911,0.6307151150470972,-0.006280955351829598,-0.9958466512033063
QM9_MU,regression,1,uncertainty,20.0,20.0,MAE,0.6141945989857465,0.6141945989857465,0.8164794446414372,0.6550069247803583,0.6307151150470972,0.016520516061350743,2.6193309256774526
QM9_MU,regression,1,flexibility,20.0,20.0,MAE,0.621311664687112,0.621311664687112,0.8515301648953068,0.6247506565464442,0.6307151150470972,0.009403450359985244,1.490918821452862
QM9_MU,regression,1,oracle,20.0,20.0,MAE,0.539356975474,0.539356975474,0.750397019953572,0.7085915988759455,0.6307151150470972,0.09135813957309724,14.484850195206638
QM9_MU,regression,2,voi_router,20.0,20.0,MAE,0.6101028161517381,0.6101028161517381,0.8283322648645142,0.6449177010398353,0.6210678331023455,0.010965016950607365,1.7655103623440187
QM9_MU,regression,2,random,20.0,20.0,MAE,0.6312038381327391,0.6312038381327391,0.8727891943772025,0.6057800592480492,0.6210678331023455,-0.01013600503039358,-1.6320286593756455
QM9_MU,regression,2,uncertainty,20.0,20.0,MAE,0.5953795425395966,0.5953795425395966,0.8081652646446603,0.6619972549632884,0.6210678331023455,0.025688290562748906,4.136148934719622
QM9_MU,regression,2,flexibility,20.0,20.0,MAE,0.6103967427127361,0.6103967427127361,0.8453645102503393,0.6301651015731111,0.6210678331023455,0.010671090389609339,1.718184362617095
QM9_MU,regression,2,oracle,20.0,20.0,MAE,0.5237654967261552,0.5237654967261552,0.7308096177320769,0.723606150165605,0.6210678331023455,0.09730233637619023,15.666941868515002
QM9_MU,regression,3,voi_router,20.0,20.0,MAE,0.6178292069547175,0.6178292069547175,0.822499072550695,0.6499011368197867,0.6282381661288738,0.010408959174156296,1.656849223009646
QM9_MU,regression,3,random,20.0,20.0,MAE,0.6296009569547176,0.6296009569547176,0.8481867645833143,0.627691587615751,0.6282381661288738,-0.0013627908258437849,-0.2169226416537432
QM9_MU,regression,3,uncertainty,20.0,20.0,MAE,0.6087213590189219,0.6087213590189219,0.8116361821865677,0.6590877041543477,0.6282381661288738,0.01951680710995196,3.1065936713479414
QM9_MU,regression,3,flexibility,20.0,20.0,MAE,0.6168955740512609,0.6168955740512609,0.834927100427953,0.6392411595627143,0.6282381661288738,0.0113425920776129,1.8054605226397746
QM9_MU,regression,3,oracle,20.0,20.0,MAE,0.5301235003383159,0.5301235003383159,0.740571121035512,0.7161731928490596,0.6282381661288738,0.09811466579055794,15.61743158571986
QM9_MU,regression,4,voi_router,20.0,20.0,MAE,0.6274635054924488,0.6274635054924488,0.8473842955922394,0.6283957358938844,0.644879339414835,0.017415833922386215,2.700634499810365
QM9_MU,regression,4,random,20.0,20.0,MAE,0.6364091146746873,0.6364091146746873,0.8597321965688713,0.6174869564103886,0.644879339414835,0.008470224740147692,1.3134588476401792
QM9_MU,regression,4,uncertainty,20.0,20.0,MAE,0.6207028324298859,0.6207028324298859,0.817152308445243,0.6544380702785312,0.644879339414835,0.02417650698494911,3.748996983976402
QM9_MU,regression,4,flexibility,20.0,20.0,MAE,0.6330508346379995,0.6330508346379995,0.8649800164263909,0.6128029721831094,0.644879339414835,0.011828504776835502,1.834219838329557
QM9_MU,regression,4,oracle,20.0,20.0,MAE,0.5427773802525997,0.5427773802525997,0.7523994912433736,0.7070342484605517,0.644879339414835,0.1021019591622353,15.832722948588005
QM9_R2,regression,0,voi_router,20.0,20.0,MAE,53.20066744091797,53.20066744091797,76.94530732235724,0.93174531984915,55.46630373632813,2.265636295410161,4.084707548172646
QM9_R2,regression,0,random,20.0,20.0,MAE,57.803963375,57.803963375,82.81992371007995,0.9209252530263052,55.46630373632813,-2.337659638671873,-4.214558175328353
QM9_R2,regression,0,uncertainty,20.0,20.0,MAE,54.13401170654297,54.13401170654297,80.46080306372,0.925365971435112,55.46630373632813,1.3322920297851581,2.401984520400919
QM9_R2,regression,0,flexibility,20.0,20.0,MAE,54.02278356445312,54.02278356445312,79.68081482483265,0.9268059645802094,55.46630373632813,1.443520171875008,2.6025173387019156
QM9_R2,regression,0,oracle,20.0,20.0,MAE,39.89143881396485,39.89143881396485,60.99256112956162,0.9571133721800482,55.46630373632813,15.574864922363282,28.079868087843018
QM9_R2,regression,1,voi_router,20.0,20.0,MAE,52.93498825195313,52.93498825195313,76.73836527438237,0.9321119638908978,56.59548153369141,3.660493281738283,6.467818953990494
QM9_R2,regression,1,random,20.0,20.0,MAE,55.66755023339845,55.66755023339845,82.21596831550767,0.9220743361024892,56.59548153369141,0.9279313002929612,1.6395854848245468
QM9_R2,regression,1,uncertainty,20.0,20.0,MAE,55.20954270410156,55.20954270410156,81.0534114788892,0.9242625365179228,56.59548153369141,1.385938829589854,2.4488506715236653
QM9_R2,regression,1,flexibility,20.0,20.0,MAE,54.31864272900391,54.31864272900391,78.7779859028659,0.928455227848187,56.59548153369141,2.2768388046875003,4.023004563239016
QM9_R2,regression,1,oracle,20.0,20.0,MAE,40.82667600683594,40.82667600683594,62.42166538099979,0.9550800916803192,56.59548153369141,15.768805526855473,27.86230472739819
QM9_R2,regression,2,voi_router,20.0,20.0,MAE,57.75073447314453,57.75073447314453,85.58698881498682,0.915553111442301,56.14670044580078,-1.6040340273437508,-2.856862495227387
QM9_R2,regression,2,random,20.0,20.0,MAE,55.7168582241211,55.7168582241211,81.0156917301625,0.9243330118577492,56.14670044580078,0.4298422216796851,0.7655698701201827
QM9_R2,regression,2,uncertainty,20.0,20.0,MAE,55.90895543603516,55.90895543603516,82.22425065175217,0.9220586350392423,56.14670044580078,0.23774500976562507,0.4234354073844887
QM9_R2,regression,2,flexibility,20.0,20.0,MAE,55.17286726513672,55.17286726513672,81.05757305675775,0.9242547590428596,56.14670044580078,0.9738331806640588,1.734444184487945
QM9_R2,regression,2,oracle,20.0,20.0,MAE,40.59952071044922,40.59952071044922,61.40486557338271,0.95653159261638,56.14670044580078,15.547179735351563,27.690282085871598
QM9_R2,regression,3,voi_router,20.0,20.0,MAE,54.54543081933594,54.54543081933594,78.7315884203784,0.928539477775142,56.2667458959961,1.7213150766601615,3.059204951787782
QM9_R2,regression,3,random,20.0,20.0,MAE,54.82346002050782,54.82346002050782,78.65712129345638,0.9286745936358152,56.2667458959961,1.4432858754882858,2.565077920368928
QM9_R2,regression,3,uncertainty,20.0,20.0,MAE,55.43544388134765,55.43544388134765,80.41936779296375,0.9254428209019044,56.2667458959961,0.8313020146484504,1.4774304101129923
QM9_R2,regression,3,flexibility,20.0,20.0,MAE,55.0175155288086,55.0175155288086,79.73157387933779,0.926712681312281,56.2667458959961,1.2492303671875007,2.220193023951639
QM9_R2,regression,3,oracle,20.0,20.0,MAE,40.85204089843751,40.85204089843751,60.960541100593375,0.9571583898208412,56.2667458959961,15.414704997558594,27.395764144689043
QM9_R2,regression,4,voi_router,20.0,20.0,MAE,53.78306012597656,53.78306012597656,77.44589138723485,0.9308543403355029,55.82597730712891,2.0429171811523474,3.659438275326833
QM9_R2,regression,4,random,20.0,20.0,MAE,54.93524947900391,54.93524947900391,77.42120815434444,0.93089840894671,55.82597730712891,0.8907278281250015,1.5955436359396373
QM9_R2,regression,4,uncertainty,20.0,20.0,MAE,55.02869127001953,55.02869127001953,80.21499205036253,0.9258212948177462,55.82597730712891,0.7972860371093802,1.4281631519374542
QM9_R2,regression,4,flexibility,20.0,20.0,MAE,55.15063211279296,55.15063211279296,79.1350621986882,0.9278051771992888,55.82597730712891,0.6753451943359465,1.2097328643626015
QM9_R2,regression,4,oracle,20.0,20.0,MAE,40.98273350878906,40.98273350878906,61.78573968628148,0.9559906798851064,55.82597730712891,14.843243798339849,26.588417282296973
