task,router,delta_MAE_reduction_vs_2D_mean,delta_MAE_reduction_vs_2D_std,relative_reduction_pct_mean,relative_reduction_pct_std,primary_value_mean,primary_value_std,call_rate_mean,call_rate_std
QM9_MU,flexibility,0.01090689163771572,0.0009355497416140079,1.730551784688587,0.14082464155733676,0.6192281288153678,0.008679457462148536,20.0,0.0
QM9_MU,oracle,0.09692644689521793,0.003896059085833418,15.380760454565703,0.5364383187071752,0.5332085735578656,0.007717259536255296,20.0,0.0
QM9_MU,random,-0.003093741191506361,0.007174089197880845,-0.5031175815684428,1.1325377341312608,0.6332287616445899,0.0032880615766319055,20.0,0.0
QM9_MU,uncertainty,0.021995172097489225,0.0038350991244658177,3.491620144867794,0.6158551734983715,0.6081398483555943,0.009988894780767496,20.0,0.0
QM9_MU,voi_router,0.014628335632515,0.008002683678263615,2.3207274659439636,1.2736375097189858,0.6155066848205685,0.01154547140304508,20.0,0.0
QM9_R2,flexibility,1.3237535437500028,0.6064542257594049,2.3579783949486233,1.0675156854456676,54.736488240039066,0.5303035387783614,20.0,0.0
QM9_R2,oracle,15.429759796093753,0.3514337099414855,27.523327265619763,0.5794062359731312,40.63048198769532,0.4355470673517921,20.0,0.0
QM9_R2,random,0.27082551738281213,1.5016833302771724,0.47024374718498835,2.6952076322720018,55.78941626640626,1.198038858086017,20.0,0.0
QM9_R2,uncertainty,0.9169127841796936,0.4678231442622774,1.635972832271904,0.8345825090298443,55.14332899960938,0.6534069187875958,20.0,0.0
QM9_R2,voi_router,1.6172655615234404,1.9470452466072778,2.8828614468100735,3.4595864605753346,54.44297622226562,1.9496544355141774,20.0,0.0
