task,router,BIG_MAE_reduction_mean,BIG_MAE_reduction_std,norm_BIG_by_oracle_mean,norm_BIG_by_oracle_std
QM9_MU,flexibility,0.014460218336299605,0.004435427842993668,0.15194019427976294,0.035611219725558696
QM9_MU,oracle,0.09401439561662886,0.006233324057797329,0.9999999999893271,6.82257249506688e-13
QM9_MU,random,0.0036320581067565303,0.01014541245050893,0.034324426707399214,0.10362525692447143
QM9_MU,uncertainty,0.01980533287363477,0.0025463091168234525,0.2104082940182844,0.020690755457521488
QM9_MU,voi_router,0.019480530005361173,0.004890012831483293,0.20556521879093528,0.03947639356118423
QM9_R2,flexibility,2.9169220341552764,0.57458411876406,0.1783429859889687,0.0327607705942455
QM9_R2,oracle,16.32192651057373,0.3017160582456556,0.9999999999999387,1.1710090180710446e-15
QM9_R2,random,3.7628064349096695,0.7120363756438022,0.23108411498184084,0.04737332452914999
QM9_R2,uncertainty,3.970881831762699,0.6294942680481048,0.24307901837251986,0.0368224498639524
QM9_R2,voi_router,4.3599336458911155,1.2566757688058108,0.266576475883642,0.07484940932860067
