task,task_type,router,beneficial_auc_mean,beneficial_auc_std,beneficial_auc_mean_std,beneficial_ap_mean,beneficial_ap_std,beneficial_ap_mean_std,precision_at_20_mean,precision_at_20_std,precision_at_20_mean_std,ndcg_at_20_mean,ndcg_at_20_std,ndcg_at_20_mean_std,utility_spearman_mean,utility_spearman_std,utility_spearman_mean_std,n_seeds
ESOL,regression,R9_oof_safe_guardrail,0.5138356106740227,0.05365782663847732,0.513836 +/- 0.053658,0.5109283923741226,0.05458989214233214,0.510928 +/- 0.054590,0.512,0.10628264204469139,0.512000 +/- 0.106283,0.2663893254418793,0.11694411658913671,0.266389 +/- 0.116944,0.0355128519828522,0.13392315579464356,0.035513 +/- 0.133923,5
ESOL,regression,flexibility,0.513477476159459,0.025221470655470965,0.513477 +/- 0.025221,0.47106624407053027,0.030278017140259152,0.471066 +/- 0.030278,0.46399999999999997,0.04079215610874229,0.464000 +/- 0.040792,0.16883180207669182,0.03660847460239756,0.168832 +/- 0.036608,0.003158959743625682,0.04423282257444921,0.003159 +/- 0.044233,5
ESOL,regression,old_voi,0.5097799804877441,0.05937110813705243,0.509780 +/- 0.059371,0.5021826943358134,0.05644167704599015,0.502183 +/- 0.056442,0.484,0.08138795979750323,0.484000 +/- 0.081388,0.271197732690701,0.11845506956843907,0.271198 +/- 0.118455,0.018530677290836645,0.14587947010534338,0.018531 +/- 0.145879,5
ESOL,regression,oracle,1.0,0.0,1.000000 +/- 0.000000,1.0,8.599750569898517e-17,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5
ESOL,regression,random,0.5054095319744635,0.012990904123150801,0.505410 +/- 0.012991,0.4894701737864226,0.04169965242422106,0.489470 +/- 0.041700,0.46399999999999997,0.034409301068170514,0.464000 +/- 0.034409,0.21123702512867332,0.04595726162079105,0.211237 +/- 0.045957,0.008271675203946121,0.03722080247423229,0.008272 +/- 0.037221,5
ESOL,regression,uncertainty,0.5537276587434932,0.02816546375490664,0.553728 +/- 0.028165,0.5110606045016848,0.06094787520089736,0.511061 +/- 0.060948,0.5680000000000001,0.09516301802696255,0.568000 +/- 0.095163,0.3102491414606137,0.07898620454010034,0.310249 +/- 0.078986,0.08666029216467463,0.07154610271854714,0.086660 +/- 0.071546,5
FreeSolv,regression,R7_oof_selected_top,0.601062248670831,0.12382746258992663,0.601062 +/- 0.123827,0.3520957225975493,0.08803906472108891,0.352096 +/- 0.088039,0.3709677419354839,0.07701507346008594,0.370968 +/- 0.077015,0.29090364767197574,0.2004801314517954,0.290904 +/- 0.200480,0.14067931394552685,0.11953535470225321,0.140679 +/- 0.119535,5
FreeSolv,regression,R8_oof_selected_gated,0.601062248670831,0.12382746258992663,0.601062 +/- 0.123827,0.3520957225975493,0.08803906472108891,0.352096 +/- 0.088039,0.3709677419354839,0.07701507346008594,0.370968 +/- 0.077015,0.29090364767197574,0.2004801314517954,0.290904 +/- 0.200480,0.14067931394552685,0.11953535470225321,0.140679 +/- 0.119535,5
FreeSolv,regression,R9_oof_safe_guardrail,0.601062248670831,0.12382746258992663,0.601062 +/- 0.123827,0.3520957225975493,0.08803906472108891,0.352096 +/- 0.088039,0.3709677419354839,0.07701507346008594,0.370968 +/- 0.077015,0.29090364767197574,0.2004801314517954,0.290904 +/- 0.200480,0.14067931394552685,0.11953535470225321,0.140679 +/- 0.119535,5
FreeSolv,regression,flexibility,0.4891614562039761,0.020362553980856204,0.489161 +/- 0.020363,0.23406816835974248,0.029936279347708233,0.234068 +/- 0.029936,0.14516129032258066,0.04674637660061109,0.145161 +/- 0.046746,0.1382866125441706,0.06569254982324316,0.138287 +/- 0.065693,-0.2812274719588653,0.03824600167777851,-0.281227 +/- 0.038246,5
FreeSolv,regression,old_voi,0.6405141609589242,0.05134382515028838,0.640514 +/- 0.051344,0.43590818045811713,0.05781386282484788,0.435908 +/- 0.057814,0.432258064516129,0.03127535391881502,0.432258 +/- 0.031275,0.5555790161050113,0.15531433658134844,0.555579 +/- 0.155314,0.0586978100528576,0.11235395290514863,0.058698 +/- 0.112354,5
FreeSolv,regression,oracle,1.0,0.0,1.000000 +/- 0.000000,0.9999999999999998,1.9860273225978183e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,1.1102230246251565e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5
FreeSolv,regression,random,0.4756368387684418,0.03096300896436252,0.475637 +/- 0.030963,0.21578352012048868,0.01887132635139001,0.215784 +/- 0.018871,0.20322580645161295,0.03321171013221613,0.203226 +/- 0.033212,0.08927959570484592,0.037456616926858415,0.089280 +/- 0.037457,-0.017456711108055654,0.06107833939275355,-0.017457 +/- 0.061078,5
FreeSolv,regression,uncertainty,0.6706832190319865,0.022828515122928817,0.670683 +/- 0.022829,0.3964931239072804,0.034267969609752265,0.396493 +/- 0.034268,0.4064516129032258,0.05141089500164266,0.406452 +/- 0.051411,0.5375451667097941,0.03940843453704552,0.537545 +/- 0.039408,0.23386940051082386,0.08411270521780935,0.233869 +/- 0.084113,5
HIV,classification,R7_oof_selected_top,0.5632426795942854,0.017411511235603954,0.563243 +/- 0.017412,0.7485212027029519,0.0191593629144259,0.748521 +/- 0.019159,0.7546174142480211,0.02669996969007601,0.754617 +/- 0.026700,0.12022881310181736,0.06275052558465569,0.120229 +/- 0.062751,0.23643143190711244,0.10989615960076793,0.236431 +/- 0.109896,5
HIV,classification,R8_oof_selected_gated,0.5632426795942854,0.017411511235603954,0.563243 +/- 0.017412,0.7485212027029519,0.0191593629144259,0.748521 +/- 0.019159,0.7546174142480211,0.02669996969007601,0.754617 +/- 0.026700,0.12022881310181736,0.06275052558465569,0.120229 +/- 0.062751,0.23643143190711244,0.10989615960076793,0.236431 +/- 0.109896,5
HIV,classification,R9_oof_safe_guardrail,0.5632426795942854,0.017411511235603954,0.563243 +/- 0.017412,0.7485212027029519,0.0191593629144259,0.748521 +/- 0.019159,0.7546174142480211,0.02669996969007601,0.754617 +/- 0.026700,0.12022881310181736,0.06275052558465569,0.120229 +/- 0.062751,0.23643143190711244,0.10989615960076793,0.236431 +/- 0.109896,5
HIV,classification,flexibility,0.4428506214912641,0.009216371479535143,0.442851 +/- 0.009216,0.6765381310975431,0.010063476689783924,0.676538 +/- 0.010063,0.6496042216358839,0.01020531905319983,0.649604 +/- 0.010205,0.21764240087488734,0.029465680626989506,0.217642 +/- 0.029466,-0.08942939546610913,0.020830084276724933,-0.089429 +/- 0.020830,5
HIV,classification,old_voi,0.5679403180440339,0.011564816359868708,0.567940 +/- 0.011565,0.7540209365407676,0.01112031351242058,0.754021 +/- 0.011120,0.775197889182058,0.016213500259353267,0.775198 +/- 0.016214,0.09365756271901492,0.034837010741783,0.093658 +/- 0.034837,0.24331611245330795,0.028131884331914117,0.243316 +/- 0.028132,5
HIV,classification,oracle,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,1.8577584504832502e-16,1.000000 +/- 0.000000,0.9999999999999998,0.0,1.000000 +/- 0.000000,5
HIV,classification,random,0.5069657057812165,0.011472263026761319,0.506966 +/- 0.011472,0.7117946664046185,0.008645033212926402,0.711795 +/- 0.008645,0.7081794195250659,0.011870418869870183,0.708179 +/- 0.011870,0.07977755225394474,0.02649017029383522,0.079778 +/- 0.026490,0.005039057555250654,0.02766318828748892,0.005039 +/- 0.027663,5
HIV,classification,uncertainty,0.5151386608381866,0.014146650209772134,0.515139 +/- 0.014147,0.6985219527784113,0.008750630152427996,0.698522 +/- 0.008751,0.6870712401055409,0.01309728089286633,0.687071 +/- 0.013097,0.3879132556203447,0.0375557569300652,0.387913 +/- 0.037556,0.3727997372446739,0.013978999100856303,0.372800 +/- 0.013979,5
Lipophilicity,regression,R7_oof_selected_top,0.5035562693593054,0.016762703510629827,0.503556 +/- 0.016763,0.49969811239407314,0.01807293475660091,0.499698 +/- 0.018073,0.5041322314049588,0.02337543078302637,0.504132 +/- 0.023375,0.24109354442898545,0.016733936537819828,0.241094 +/- 0.016734,0.01875824278660391,0.029225599861310035,0.018758 +/- 0.029226,5
Lipophilicity,regression,R8_oof_selected_gated,0.5035562693593054,0.016762703510629827,0.503556 +/- 0.016763,0.49969811239407314,0.01807293475660091,0.499698 +/- 0.018073,0.5041322314049588,0.02337543078302637,0.504132 +/- 0.023375,0.24109354442898545,0.016733936537819828,0.241094 +/- 0.016734,0.01875824278660391,0.029225599861310035,0.018758 +/- 0.029226,5
Lipophilicity,regression,R9_oof_safe_guardrail,0.5035562693593054,0.016762703510629827,0.503556 +/- 0.016763,0.49969811239407314,0.01807293475660091,0.499698 +/- 0.018073,0.5041322314049588,0.02337543078302637,0.504132 +/- 0.023375,0.24109354442898545,0.016733936537819828,0.241094 +/- 0.016734,0.01875824278660391,0.029225599861310035,0.018758 +/- 0.029226,5
Lipophilicity,regression,flexibility,0.5102559916320137,0.009734839336498081,0.510256 +/- 0.009735,0.5130983867861323,0.012472620065766486,0.513098 +/- 0.012473,0.5330578512396694,0.019381883305055504,0.533058 +/- 0.019382,0.2512522466001553,0.011981210787507033,0.251252 +/- 0.011981,0.028256275943596733,0.022638506581876945,0.028256 +/- 0.022639,5
Lipophilicity,regression,old_voi,0.5037828425441929,0.014426776923326797,0.503783 +/- 0.014427,0.5005027553081922,0.019534823921598398,0.500503 +/- 0.019535,0.5024793388429752,0.030207713855367038,0.502479 +/- 0.030208,0.24708649905019744,0.022650860315030667,0.247086 +/- 0.022651,0.024302872778189526,0.019417075231665595,0.024303 +/- 0.019417,5
Lipophilicity,regression,oracle,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,1.6467268631127714e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5
Lipophilicity,regression,random,0.4993123543994137,0.016044324894614347,0.499312 +/- 0.016044,0.49065024277402747,0.010596522521593342,0.490650 +/- 0.010597,0.4818181818181818,0.013976474814287399,0.481818 +/- 0.013976,0.25185052832625743,0.02742103051679479,0.251851 +/- 0.027421,0.0034958339137898123,0.0226615242280362,0.003496 +/- 0.022662,5
Lipophilicity,regression,uncertainty,0.5087153186239547,0.009806408029077385,0.508715 +/- 0.009806,0.5002778388178676,0.018802618586541416,0.500278 +/- 0.018803,0.5314049586776859,0.029866629751392794,0.531405 +/- 0.029867,0.2346073771529987,0.017328664349722696,0.234607 +/- 0.017329,0.006383146778702971,0.017669350752421573,0.006383 +/- 0.017669,5
