task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
BBBP,classification,R7_oof_selected_top,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,R8_oof_selected_gated,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R8_oof_selected_gated,5.0,0.9245638382236321,0.003448304087142287,0.924564 +/- 0.003448,3.9344262295081966,1.9672131147540985,3.934426 +/- 1.967213,5
BBBP,classification,R8_oof_selected_gated,10.0,0.9246629659000793,0.002885279565777354,0.924663 +/- 0.002885,7.868852459016393,3.934426229508197,7.868852 +/- 3.934426,5
BBBP,classification,R8_oof_selected_gated,20.0,0.9253172085646313,0.002661241204862131,0.925317 +/- 0.002661,15.344262295081966,7.776507320851721,15.344262 +/- 7.776507,5
BBBP,classification,R8_oof_selected_gated,40.0,0.9265761300555116,0.0027319702726070687,0.926576 +/- 0.002732,23.672131147540984,15.139448551568156,23.672131 +/- 15.139449,5
BBBP,classification,R8_oof_selected_gated,60.0,0.9257335448057098,0.002291243554933622,0.925734 +/- 0.002291,26.491803278688526,18.49994007704002,26.491803 +/- 18.499940,5
BBBP,classification,R8_oof_selected_gated,80.0,0.9257335448057098,0.002291243554933622,0.925734 +/- 0.002291,26.491803278688526,18.49994007704002,26.491803 +/- 18.499940,5
BBBP,classification,R8_oof_selected_gated,100.0,0.9257335448057098,0.002291243554933622,0.925734 +/- 0.002291,26.491803278688526,18.49994007704002,26.491803 +/- 18.499940,5
BBBP,classification,R9_oof_safe_guardrail,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_oof_safe_guardrail,5.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_oof_safe_guardrail,10.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_oof_safe_guardrail,20.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_oof_safe_guardrail,40.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_oof_safe_guardrail,60.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_oof_safe_guardrail,80.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_oof_safe_guardrail,100.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,flexibility,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,flexibility,5.0,0.9257038065027757,0.004175499660494276,0.925704 +/- 0.004175,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,flexibility,10.0,0.9253568596352103,0.003671205240763896,0.925357 +/- 0.003671,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,flexibility,20.0,0.9260606661379857,0.0038019567090778993,0.926061 +/- 0.003802,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,flexibility,40.0,0.9247323552735924,0.0035310330279307283,0.924732 +/- 0.003531,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,flexibility,60.0,0.9250297383029341,0.00307992099511576,0.925030 +/- 0.003080,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,flexibility,80.0,0.927577319587629,0.0024129802263520117,0.927577 +/- 0.002413,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,flexibility,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,old_voi,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,old_voi,5.0,0.9243953211736718,0.002950709752668782,0.924395 +/- 0.002951,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,old_voi,10.0,0.9248116574147502,0.004490057014244106,0.924812 +/- 0.004490,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,old_voi,20.0,0.9255551149881047,0.002448273004605143,0.925555 +/- 0.002448,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,old_voi,40.0,0.9277755749405234,0.0033324301088282385,0.927776 +/- 0.003332,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,old_voi,60.0,0.928370340999207,0.003501663247289549,0.928370 +/- 0.003502,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,old_voi,80.0,0.9283009516256939,0.00310802811756337,0.928301 +/- 0.003108,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,old_voi,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,oracle,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,oracle,5.0,0.9337827121332276,0.003231623066134004,0.933783 +/- 0.003232,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,oracle,10.0,0.9367961934972244,0.003289246906163186,0.936796 +/- 0.003289,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,oracle,20.0,0.9417129262490087,0.0037867550884458376,0.941713 +/- 0.003787,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,oracle,40.0,0.9449742268041238,0.0030632537161255006,0.944974 +/- 0.003063,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,oracle,60.0,0.9455194290245836,0.0029508429555287433,0.945519 +/- 0.002951,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,oracle,80.0,0.944964314036479,0.003095990782957367,0.944964 +/- 0.003096,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,oracle,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,random,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,random,5.0,0.9262490087232356,0.0033643588744901006,0.926249 +/- 0.003364,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,random,10.0,0.9264770023790643,0.0025178429817604986,0.926477 +/- 0.002518,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,random,20.0,0.9255650277557494,0.0029065546489813175,0.925565 +/- 0.002907,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,random,40.0,0.9273691514670898,0.0038784898941018127,0.927369 +/- 0.003878,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,random,60.0,0.9270222045995242,0.0025937756229471635,0.927022 +/- 0.002594,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,random,80.0,0.9279738302934181,0.0032205665232816942,0.927974 +/- 0.003221,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,random,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,uncertainty,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
