task,task_type,method_group,method,primary_metric,primary_mean,primary_std,n_seeds,source,split,n_train,n_val,n_test,AUROC_mean_std,AUPRC_mean_std,Accuracy_mean_std,LogLoss_mean_std,MAE_mean_std,RMSE_mean_std,R2_mean_std
FreeSolv,regression,classic-kernel,SVR_RBF_Desc,MAE,6.383847890742368,0.0,5,ours_rerun_same_split,scaffold_balanced,162,168,312,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,6.383848 +/- 0.000000,7.002209 +/- 0.000000,-1.898682 +/- 0.000000
FreeSolv,regression,classic-linear,Ridge_ECFPDesc,MAE,3.836911997978503,4.440892098500626e-16,5,ours_rerun_same_split,scaffold_balanced,162,168,312,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,3.836912 +/- 0.000000,4.315237 +/- 0.000000,-0.100879 +/- 0.000000
FreeSolv,regression,descriptor-boosting,XGB_ECFPDesc,MAE,2.2457243956686592,0.04423834611722088,5,ours_rerun_same_split,scaffold_balanced,162,168,312,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,2.245724 +/- 0.044238,2.996314 +/- 0.046723,0.469103 +/- 0.016617
HIV,classification,classic-ensemble,ExtraTrees_ECFPDesc,AUROC,0.7277286759419799,0.0060013877446988455,5,ours_rerun_same_split,scaffold_balanced,8259,1844,1897,0.727729 +/- 0.006001,0.267938 +/- 0.005103,0.960675 +/- 0.000258,0.154937 +/- 0.003256,nan +/- nan,nan +/- nan,nan +/- nan
HIV,classification,classic-ensemble,RF_ECFPDesc,AUROC,0.7342242144880957,0.01875771231637379,5,ours_rerun_same_split,scaffold_balanced,8259,1844,1897,0.734224 +/- 0.018758,0.252989 +/- 0.006731,0.960464 +/- 0.000000,0.154195 +/- 0.003763,nan +/- nan,nan +/- nan,nan +/- nan
HIV,classification,classic-kernel,SVM_RBF_Desc,AUROC,0.6386997645931126,0.0,5,ours_rerun_same_split,scaffold_balanced,8259,1844,1897,0.638700 +/- 0.000000,0.093509 +/- 0.000000,0.779125 +/- 0.000000,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan
HIV,classification,classic-linear,LR_ECFPDesc,AUROC,0.7392128670303492,0.0,5,ours_rerun_same_split,scaffold_balanced,8259,1844,1897,0.739213 +/- 0.000000,0.206499 +/- 0.000000,0.926726 +/- 0.000000,0.240549 +/- 0.000000,nan +/- nan,nan +/- nan,nan +/- nan
HIV,classification,descriptor-boosting,XGB_ECFPDesc,AUROC,0.6943629213007992,0.004526931904689732,5,ours_rerun_same_split,scaffold_balanced,8259,1844,1897,0.694363 +/- 0.004527,0.211645 +/- 0.015618,0.939273 +/- 0.004048,0.266495 +/- 0.001754,nan +/- nan,nan +/- nan,nan +/- nan
Lipophilicity,regression,classic-ensemble,ExtraTrees_ECFPDesc,MAE,0.7786848198347107,0.001576491504297484,5,ours_rerun_same_split,scaffold_balanced,1812,1178,1210,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.778685 +/- 0.001576,0.964456 +/- 0.001114,0.258788 +/- 0.001713
Lipophilicity,regression,classic-ensemble,RF_ECFPDesc,MAE,0.7578479729168901,0.0026290180125755538,5,ours_rerun_same_split,scaffold_balanced,1812,1178,1210,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.757848 +/- 0.002629,0.935109 +/- 0.003021,0.303204 +/- 0.004497
Lipophilicity,regression,classic-kernel,KRR_RBF_Desc,MAE,0.7918020749954002,0.0,5,ours_rerun_same_split,scaffold_balanced,1812,1178,1210,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.791802 +/- 0.000000,0.997325 +/- 0.000000,0.207406 +/- 0.000000
Lipophilicity,regression,classic-kernel,SVR_RBF_Desc,MAE,0.785349899339517,0.0,5,ours_rerun_same_split,scaffold_balanced,1812,1178,1210,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.785350 +/- 0.000000,0.999062 +/- 0.000000,0.204643 +/- 0.000000
Lipophilicity,regression,classic-linear,Ridge_ECFPDesc,MAE,0.8176993418685662,0.0,5,ours_rerun_same_split,scaffold_balanced,1812,1178,1210,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.817699 +/- 0.000000,1.079500 +/- 0.000000,0.071414 +/- 0.000000
Lipophilicity,regression,descriptor-boosting,XGB_ECFPDesc,MAE,0.6436100468402214,0.0035122074441580804,5,ours_rerun_same_split,scaffold_balanced,1812,1178,1210,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.643610 +/- 0.003512,0.825395 +/- 0.003980,0.457111 +/- 0.005241
